imagePath,title
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10673.jpg,Doodle Girl Ballet School Black Tops
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7721.jpg,Puma Women Exsis 2 White Blue Shoe
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44604.jpg,Van Heusen Men Brown Wallet
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\41762.jpg,Remanika Women Multi Coloured Top
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\18520.jpg,C Vox Women Solid 1354 Black Jacket
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\5161.jpg,Ed Hardy Men's Eagle Shield Anchor Collage Black T-shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50849.jpg,Fabindia Women Blue Stole
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8514.jpg,Nike Unisex Ultimatum Max Grey Backpacks
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59404.jpg,Tokyo Talkies Women Blue Top
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50659.jpg,Chromozome Men Navy Blue Lounge Shorts
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\35466.jpg,Franco Leone Men Brown Casual Shoes
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\38384.jpg,Peter England Men Black Belt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46560.jpg,Timex Men Black Dial Watch
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\21670.jpg,Fossil Men Black Dial Chronograph Watch CH2600
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2163.jpg,Probase Men Stripe Red Shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50346.jpg,Aurelia Women Pink Kurta
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8056.jpg,Fila Men's Core Pique Polo Red T-shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8228.jpg,Fastrack Men Red Messenger Bag
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8796.jpg,Scullers Men Black White Check Shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\54925.jpg,Do U Speak Green Men Cream Shorts
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\27209.jpg,Doodle Kids Boy Check Red Shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\4554.jpg,Nike Men's Total90 Shoot White Shoe
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28127.jpg,Jockey MODERN CLASSIC Men Brown Modern Classic Brief 8035
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23569.jpg,Boss Women Femme Perfume
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25752.jpg,Lino Perros Men Canvas Mustard Belt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33946.jpg,ADIDAS Men Green Polo T-shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\53668.jpg,Kiara Women Teal Handbag
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\29461.jpg,Giordano Women White Dial Watch
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13793.jpg,Proline Mens Solid Blue Polo Tshirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24081.jpg,Catwalk Women Red Casual Shoes
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58898.jpg,Hakashi Men Black & Grey Silk Tie
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46606.jpg,Catwalk Women Blue Shoes
